team,draft_year,k,ewii_k,snap_share_k,dci_k,grp
IND,2015,1,-0.17435338714477766,0.0,-0.0,single
NE,2015,1,0.059423420470800806,0.0,0.0,single
MIN,2015,1,0.09909090264423097,0.05085638998682477,0.005039405589021496,single
BAL,2015,1,-0.04348511193973878,0.0,-0.0,zero
TEN,2015,1,-0.04445176257083381,0.0,-0.0,zero
NYJ,2015,1,0.22314355131420976,0.0,0.0,zero
DAL,2015,1,-0.17768117723745264,0.08484208817082081,-0.015074842105475196,single
LA,2015,1,0.13353139262452257,0.0,0.0,zero
ARI,2015,1,0.21825356602001797,0.0,0.0,zero
NYG,2015,1,-0.16251892949777494,0.09053117782909931,-0.014713030106957917,single
TB,2015,1,0.09763846956391607,0.0,0.0,zero
PHI,2015,1,0.25423413838424086,0.0,0.0,single
NO,2015,1,-0.17693070815907821,0.0,-0.0,zero
PIT,2015,1,0.40546510810816455,0.0,0.0,single
JAX,2015,1,0.13353139262452277,0.0,0.0,zero
WAS,2015,1,0.16705408466316624,0.0,0.0,zero
CHI,2015,1,0.24783616390458127,0.0,0.0,zero
ATL,2015,1,0.39465419200394874,0.04343971631205674,0.017143666142015505,single
KC,2016,1,-0.08408311721054132,0.0,-0.0,single
CAR,2016,1,-0.28223246768421634,0.15706399861997586,-0.04432855991486614,double
CIN,2016,1,-0.03390155167568134,0.05529113120736157,-0.0018744551418332456,single
DEN,2016,1,0.049596941139372186,0.06773421682311798,0.0033594099648976555,single
HOU,2016,1,0.050430853626891904,0.0,0.0,zero
SEA,2016,1,-0.2818511521409877,0.0,-0.0,zero
GB,2016,1,-0.38776553100876343,0.0,-0.0,zero
NYJ,2016,1,-0.3964152725882465,0.0,-0.0,zero
PIT,2016,1,-0.05715841383994864,0.17759944173063502,-0.010151302388183481,double
