draft_year,team,grp,need_rank,cap_rank_prop_in_need_space,cap_pred_elastic,cap_resid_elastic,cap_resid_elastic_std
2002,MIA,single,23,30.0,16.41725490196078,-13.582745098039219,-1.482709826867144
2002,MIN,single,4,16.933333333333334,14.748235294117643,-2.1850980392156902,-0.23852809664232993
2002,NYJ,single,20,13.2,16.153725490196074,2.9537254901960743,0.32243245224515854
2002,PIT,single,30,26.266666666666666,17.032156862745094,-9.234509803921572,-1.008050900885423
2002,SF,single,19,7.6,16.065882352941173,8.465882352941174,0.9241465452825929
2002,TB,single,25,28.133333333333333,16.592941176470585,-11.540392156862747,-1.2597639676939114
2002,TEN,single,2,11.333333333333334,14.57254901960784,3.2392156862745054,0.3535969271833523
2002,WAS,single,17,22.533333333333335,15.89019607843137,-6.643137254901966,-0.7251733591387409
2003,IND,double,14,20.7,17.536123348017625,-3.163876651982374,-0.46496555789173083
2003,PIT,double,20,10.2,15.093832599118945,4.893832599118946,0.7192011114758075
2003,SEA,double,21,6.0,14.686784140969166,8.686784140969166,1.2766159615799302
2003,ATL,single,24,22.8,13.465638766519827,-9.334361233480173,-1.3717843506220964
2003,CHI,single,8,14.4,19.978414096916303,5.578414096916303,0.8198076941775272
2003,CLE,single,12,24.9,18.350220264317187,-6.549779735682812,-0.9625602777407765
2003,DAL,single,18,8.1,15.907929515418505,7.807929515418506,1.1474588621655601
2003,JAX,single,17,18.6,16.314977973568286,-2.285022026431715,-0.33580845847736124
2003,KC,single,6,27.0,20.792511013215865,-6.207488986784135,-0.9122569863899168
2003,NE,single,27,16.5,12.244493392070487,-4.255506607929513,-0.6253922708485276
2003,TEN,single,15,12.3,17.129074889867844,4.829074889867844,0.7096842725715906
2004,CIN,double,10,9.0,11.183512703872182,2.183512703872182,0.29547584237643215
2004,GB,double,25,7.0,19.94585598579829,12.945855985798289,1.7518504453416925
2004,HOU,double,1,5.0,5.9261067347165195,0.9261067347165195,0.12532199473150807
2004,PHI,double,23,25.0,18.777543548208143,-6.222456451791857,-0.842031080690928
2004,ATL,single,3,3.0,7.094419172306667,4.094419172306667,0.5540622465049535
2004,CAR,single,26,11.0,20.530012204593362,9.530012204593362,1.2896139230224228
2004,CLE,single,28,21.0,21.69832464218351,0.6983246421835112,0.09449821910148688
2004,IND,single,15,15.0,14.104293797847554,-0.8957062021524465,-0.12120815424313716
2004,MIA,single,24,27.0,19.361699767003216,-7.638300232996784,-1.033624943727801
2004,NYJ,single,7,23.0,9.431044047486962,-13.568955952513038,-1.8361691613369189
2004,PIT,single,11,13.0,11.767668922667257,-1.2323310773327432,-0.1667606799428374
2004,SEA,single,18,17.0,15.856762454232772,-1.143237545767228,-0.15470442478896176
2004,SF,single,19,19.0,16.44091867302785,-2.5590813269721515,-0.3462982878258341
2004,TB,single,29,29.0,22.282480860978584,-6.717519139021416,-0.9090236217825768
2004,WAS,single,9,1.0,10.59935648507711,9.59935648507711,1.2989976832604957
2005,ARI,double,28,4.0,17.715515139345076,13.715515139345076,1.5169917651813305
2005,DEN,double,11,12.307692307692308,17.39292015089143,5.085227843199123,0.562446884701718
2005,IND,double,8,10.23076923076923,17.33599162351726,7.105222392748029,0.7858664986385216
2005,CLE,single,23,14.384615384615385,17.620634260388123,3.2360188757727375,0.35791685085427993
2005,DET,single,16,26.846153846153847,17.487801029848384,-9.358352816305462,-1.0350718885703327
2005,GB,single,4,20.615384615384617,17.260086920351693,-3.355297695032924,-0.3711095734563779
2005,JAX,single,14,31.0,17.449848678265603,-13.550151321734397,-1.498701854301153
2005,NE,single,25,28.923076923076923,17.658586611970904,-11.26449031110602,-1.2458984491142258
2005,NO,single,5,16.46153846153846,17.279063096143084,0.8175246346046237,0.09042155004229098
2005,NYG,single,17,18.53846153846154,17.506777205639775,-1.031684332821765,-0.11410848380514749
2005,NYJ,single,15,22.692307692307693,17.468824854056994,-5.2234828382507,-0.5777384495359676
2005,PIT,single,30,24.76923076923077,17.753467490927857,-7.015763278302913,-0.7759719566869507
2005,TEN,single,6,6.076923076923077,17.298039271934474,11.221116195011398,1.2411010954407347
2005,WAS,single,31,8.153846153846153,17.772443666719248,9.618597512873095,1.0638560106112687
