draft_year,team,db_picks_top3,double_db_top3,single_db_top3,db_capital_top3,total_capital_top3,db_cap_share,rank_prev,pct_prev,n_teams,need_rank,need_pct_eps,NDI_rank,NDI_pct_eps,ndi_rank_pctile,ndi_pct_eps_pctile
2006,GB,0,0,0,0.0,2510.0,0.0,18.0,0.4516129032258065,32.0,0.5625,0.5483870967741935,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,HOU,0,0,0,0.0,3845.0,0.0,31.0,0.032258064516129,32.0,0.96875,0.967741935483871,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,JAX,0,0,0,0.0,1150.0,0.0,6.0,0.8387096774193549,32.0,0.1875,0.16129032258064513,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,NE,0,0,0,0.0,1500.0,0.0,29.0,0.0967741935483871,32.0,0.90625,0.9032258064516129,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,NYG,0,0,0,0.0,1166.0,0.0,20.0,0.3870967741935484,32.0,0.625,0.6129032258064516,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,NYJ,0,0,0,0.0,2850.0,0.0,7.0,0.8064516129032258,32.0,0.21875,0.19354838709677424,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,PHI,0,0,0,0.0,1845.0,0.0,22.0,0.3225806451612903,32.0,0.6875,0.6774193548387097,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,SF,0,0,0,0.0,2550.0,0.0,32.0,0.0,32.0,1.0,1.0,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,TB,0,0,0,0.0,1210.0,0.0,11.0,0.6774193548387097,32.0,0.34375,0.32258064516129026,0.0,0.0,0.2413793103448276,0.2413793103448276
2006,OAK,1,0,1,1500.0,2265.0,0.6622516556291391,,,,,,,,,
2006,SD,1,0,1,875.0,1460.0,0.5993150684931506,,,,,,,,,
2006,STL,1,0,1,1050.0,1740.0,0.603448275862069,,,,,,,,,
2007,CIN,2,1,0,966.0,1376.0,0.7020348837209303,26.0,0.1935483870967742,32.0,0.8125,0.8064516129032258,1188.923076923077,1197.8400000000001,0.8275862068965517,0.8275862068965517
2007,JAX,1,0,1,800.0,1415.0,0.5653710247349824,5.0,0.8709677419354839,32.0,0.15625,0.12903225806451613,5120.0,6200.0,1.0,1.0
2007,NYJ,1,0,1,1100.0,1550.6,0.7094028118147814,9.0,0.7419354838709677,32.0,0.28125,0.25806451612903225,3911.1111111111113,4262.5,0.9655172413793104,0.9655172413793104
2007,WAS,1,0,1,1600.0,1654.3,0.9671764492534607,32.0,0.0,32.0,1.0,1.0,1600.0,1600.0,0.9310344827586207,0.896551724137931
2007,NE,1,0,1,740.0,808.0,0.9158415841584159,15.0,0.5483870967741935,32.0,0.46875,0.4516129032258065,1578.6666666666667,1638.5714285714284,0.896551724137931,0.9310344827586207
2007,NYG,1,0,1,850.0,1425.0,0.5964912280701754,19.0,0.4193548387096774,32.0,0.59375,0.5806451612903226,1431.578947368421,1463.8888888888887,0.8620689655172413,0.8620689655172413
