team,draft_year,grp,DCI_Year1,DCI_Year2,DCI_Year3,DCI_Year4,DCI_Year5
KC,2019,single,0.009131787762989008,0.002923688058747015,-0.015298852432168322,0.0,0.0
KC,2020,zero,0.0,0.0,0.0,0.0,0.0
KC,2021,zero,0.0,0.0,0.0,0.0,0.0
KC,2022,single,0.02495350915885814,0.03287889560107256,0.0,0.0,0.0
LA,2013,zero,0.0,0.0,0.0,0.0,0.0
LA,2014,zero,0.0,0.0,0.0,0.0,0.0
LA,2015,zero,0.0,0.0,0.0,0.0,0.0
LA,2016,zero,0.0,0.0,0.0,0.0,0.0
LA,2017,single,0.0016277884912735583,-0.007554534788387538,0.006598428401523374,0.0,0.0
LA,2018,zero,0.0,0.0,0.0,0.0,0.0
LA,2019,double,0.011551361636245663,0.045719886731411204,0.03038218581161319,0.0,0.0
LA,2020,zero,0.0007685045392290345,-0.00012116925381122724,0.0,0.0,0.0
LA,2021,zero,0.0,0.0,0.0,0.0,0.0
LA,2022,single,0.0,0.0,0.0,0.0,0.0
LAC,2013,zero,0.0,0.0,0.0,0.0,0.0
LAC,2014,zero,0.0,0.0,0.0,0.0,0.0
LAC,2015,zero,0.0,0.0,0.0,0.0,0.0
LAC,2016,zero,0.0,0.0,0.0,0.0,0.0
LAC,2017,zero,0.0,0.0,0.0,0.0,0.0
LAC,2018,single,-0.00501221057983772,0.0,-0.01346290438126654,-0.02939865308967257,-0.015723529076914114
LAC,2019,single,-0.015097430070056024,0.0,-0.015688417007781414,0.0,0.0
LAC,2020,zero,0.0,0.0,0.0,0.0,0.0
LAC,2021,single,-0.018563443654003805,-0.0017361678445435276,-0.0068685288998104966,0.0,0.0
LAC,2022,zero,0.0,0.0,0.0,0.0,0.0
LV,2013,zero,-0.0028755739468812624,0.0,0.01484759915591609,0.0,0.0
LV,2014,zero,0.0,0.0,0.0,0.0,0.0
LV,2015,zero,0.0,0.0,0.0,0.0,0.0
LV,2016,zero,-0.03385518575368271,-0.018703339315218243,-0.02400826146757139,0.0,0.0
LV,2017,zero,0.001847714559137403,-0.0009872073194157206,0.0,0.0,0.0
LV,2018,zero,0.0,0.0,0.0,0.0,0.0
LV,2019,zero,0.009333422249530356,0.017931623291422453,0.016348377125329237,0.0,0.0
LV,2020,single,0.0006301902840674759,0.0,0.0,0.0,0.0
LV,2021,single,0.010270906307921981,-0.025895433082585743,0.05395786529071355,0.0,0.0
LV,2022,zero,0.0,0.0,0.0,0.0,0.0
MIA,2013,single,0.00699937376707538,0.011747286362762904,0.0,0.0,0.0
MIA,2014,zero,0.0,0.0,0.0,0.0,0.0
MIA,2015,zero,0.0,0.0,0.0,0.0,0.0
MIA,2016,single,0.027726183168672515,-0.0017876786381981402,-0.0029198316081438355,-0.009154695257049783,0.0062958524234311575
MIA,2017,single,-0.0008238958487502198,0.0,0.0,0.0,0.0
MIA,2018,single,-0.0007996622379957053,0.0,0.0,0.0,0.0
