full_name,position,career_length,position_group
Ben Coates,TE,1,TE
Antonio Cochran,DL,6,DL
Nakia Codie,DB,1,DB
Mac Cody,WR,1,WR
George Coghill,DB,2,DB
Ben Coleman,OL,2,OL
Marco Coleman,DL,6,DL
Marcus Coleman,DB,7,DB
Rod Coleman,DL,2,DL
Stalin Colinet,DL,3,DL
Bobby Collins,TE,2,TE
Calvin Collins,OL,2,OL
Kerry Collins,QB,12,QB
Mo Collins,OL,4,OL
Todd Collins,QB,11,QB
Todd F. Collins,LB,1,LB
Doug Colman,LB,1,LB
Rosevelt Colvin,LB,9,LB
Greg Comella,RB,5,RB
Mike Compton,OL,5,OL
Bill Conaty,OL,2,OL
Albert Connell,WR,2,WR
Chris Conrad,OL,1,OL
Brett Conway,SPEC,4,SP
Curtis Conway,WR,5,WR
Ernie Conwell,TE,7,TE
Rashard Cook,DB,3,DB
Andre Cooper,WR,1,WR
John Copeland,DL,2,DL
Chad Cota,DB,3,DB
Tim Couch,QB,4,QB
Keith Council,DL,1,DL
Terry Cousin,DB,9,DB
Scott Covington,QB,4,QB
Sam Cowart,LB,6,LB
Bryan Cox,LB,9,LB
Jason Craft,DB,9,DB
Dameyune Craig,QB,2,QB
Henri Crockett,LB,4,LB
Ray Crockett,DB,3,DB
Zack Crockett,RB,8,RB
Clifton Crosby,DB,2,DB
Howard Cross,TE,2,TE
Germane Crowell,WR,3,WR
Brad Culpepper,DL,1,DL
Daunte Culpepper,QB,10,QB
Randall Cunningham,QB,2,QB
Richie Cunningham,SPEC,2,SP
DeMarcus Curry,OL,2,OL
Eric Curry,DL,1,DL
Scott Curry,OL,1,OL
Canute Curtis,LB,3,LB
Matt Cushing,TE,5,TE
Kevin Daft,QB,2,QB
Chris Dalman,OL,1,OL
Antico Dalton,LB,1,LB
Lional Dalton,DL,7,DL
Brad Daluiso,SPEC,2,SP
Robert Daniel,DL,1,DL
Phillip Daniels,DL,10,DL
Tony Darden,DB,1,DB
Donovin Darius,DB,8,DB
James Darling,LB,7,LB
Norberto Davidds-Garrido,OL,1,OL
Anthony Davis,LB,12,LB
Billy Davis,WR,1,WR
Don Davis,LB,7,LB
Eric Davis,DB,3,DB
John Davis,TE,3,TE
Pernell Davis,DL,1,DL
Rob Davis,DL,8,DL
Russell Davis,DL,8,DL
Stephen Davis,RB,7,RB
Terrell Davis,RB,2,RB
Thabiti Davis,WR,2,WR
Tyrone Davis,TE,3,TE
Brian Dawkins,DB,12,DB
Sean Dawkins,WR,2,WR
Dermontti Dawson,OL,1,OL
Phil Dawson,SPEC,18,SP
Derrick Deese,OL,6,OL
Al Del Greco,SPEC,1,SP
Jake Delhomme,QB,12,QB
Greg DeLong,TE,1,TE
Autry Denson,RB,3,RB
Tim Denton,DB,1,DB
Dan Dercher,OL,1,OL
Koy Detmer,QB,7,QB
Ty Detmer,QB,6,QB
Jared DeVries,DL,9,DL
James Dexter,OL,1,OL
Gennaro DiNapoli,OL,4,OL
Jorge Diaz,OL,1,OL
Trent Dilfer,QB,8,QB
Ken Dilger,TE,5,TE
Corey Dillon,RB,7,RB
Adrian Dingle,DL,5,DL
Chris Dishman,OL,5,OL
Cris Dishman,DB,1,DB
David Dixon,OL,5,OL
Gerald Dixon,LB,2,LB
Mark Dixon,OL,4,OL
Chris Doering,WR,4,WR
Kevin Dogins,OL,4,OL
Cedric Donaldson,DB,1,DB
Kevin Donnalley,OL,4,OL
Anthony Dorsett,DB,4,DB
Earl Dotson,OL,3,OL
Santana Dotson,DL,2,DL
Mike Doughty,OL,1,OL
Dameane Douglas,WR,3,WR
Hugh Douglas,DL,5,DL
Marques Douglas,DL,11,DL
Gary Downs,RB,1,RB
Chris Draft,LB,10,LB
Scott Dragos,TE,2,TE
Jerry Drake,DL,1,DL
Tyronne Drakeford,DB,2,DB
Troy Drayton,TE,1,TE
Scott Dreisbach,QB,2,QB
Donald Driver,WR,13,WR
Shane Dronett,DL,2,DL
Rickey Dudley,TE,5,TE
Roger Duffy,OL,2,OL
Chad Dukes,RB,1,RB
Mike Dumas,DB,1,DB
Jamie Duncan,LB,5,LB
Damon Dunn,WR,1,WR
David Dunn,WR,2,WR
Jason Dunn,TE,8,TE
Warrick Dunn,RB,9,RB
Tim Dwight,WR,8,WR
Kevin Dyson,WR,4,WR
Chad Eaton,DL,4,DL
