draft_year,team,pdx4_prev,perf_pct_prev,perf_rank_prev,n_teams,need_rank,need_pct,db_picks_top3,db_capital_top3,total_capital_top3,grp,cap_rank_raw,cap_rank_prop_in_need_space,need_rank_prop_in_cap_space,index_A,index_B,abs_index_A,abs_index_B,index_A_rank_signed,index_A_rank_abs,index_B_rank_signed,index_B_rank_abs,cap_pred_elastic,RMSE,cap_resid_elastic,cap_resid_elastic_std,ln_cap,ln_need,pred_frontier90,gap_to_frontier,frontier_eff
2013,TB,-1.0587367173397166,0.0645161290322581,30,32,3,0.9354838709677419,1,470.0,795.0,single,9.0,15.0,2.0,-12.0,-7.0,12.0,7.0,15.0,5.0,15.0,5.0,12.044444444444444,8.89803310520305,-2.9555555555555557,-0.3321583006729116,6.152732694704104,1.0986122886681098,6.970630320700821,0.817897625996717,0.44135858059789895
2013,NO,-1.1526036119749763,0.0,32,32,1,1.0,1,1050.0,1445.0,single,3.0,4.5,1.0,-3.5,-2.0,3.5,2.0,13.0,11.0,12.0,9.0,11.579218106995883,8.89803310520305,7.079218106995883,0.7955935905493957,6.956545443151569,0.0,6.9565453300171605,-1.1313440850813095e-07,1.0
2014,CIN,1.4106844291316656,0.967741935483871,2,32,31,0.03225806451612903,1,740.0,1240.0,single,5.0,13.818181818181818,12.0,17.18181818181818,7.0,17.18181818181818,7.0,2.0,3.0,2.0,3.0,16.467593920275313,9.246935655452877,2.6494121020934944,0.286517847729496,6.606650186198215,3.4339872044851463,7.263820213073237,0.657170026875022,0.518316081497685
2014,ARI,0.862582995115202,0.9032258064516128,4,32,29,0.0967741935483871,1,680.0,1230.0,single,6.0,16.272727272727273,11.0,12.727272727272727,5.0,12.727272727272727,5.0,3.0,5.0,3.0,5.0,16.632778893031265,9.246935655452877,0.3600516203039916,0.03893739869290329,6.522092798170152,3.367295829986474,7.250981866651463,0.728889068481311,0.48244465546511567
2014,CLE,0.8522462495334456,0.8709677419354839,5,32,28,0.12903225806451613,1,1400.0,2730.0,single,1.0,4.0,10.0,24.0,9.0,24.0,9.0,1.0,1.0,1.0,1.0,16.715371379409238,9.246935655452877,12.715371379409238,1.3750902843052704,7.24422751560335,3.332204510175204,7.244226652449912,-8.631534376135619e-07,1.0
2014,SF,0.6551895214016369,0.8064516129032258,7,32,26,0.1935483870967742,1,620.0,1190.0,single,7.0,18.727272727272727,9.0,7.272727272727273,2.0,7.272727272727273,2.0,4.0,8.0,4.0,8.0,16.88055635216519,9.246935655452877,-1.8467163751075368,-0.1997111739410165,6.429719478039138,3.258096538021482,7.229960582417967,0.8002411043788298,0.44922064199543155
2014,NO,0.637884876995312,0.7419354838709677,9,32,24,0.25806451612903225,1,320.0,1216.0,single,9.0,23.636363636363637,8.0,0.3636363636363633,-1.0,0.3636363636363633,1.0,7.0,12.0,7.0,11.0,17.04574132492114,9.246935655452877,-6.590622311442498,-0.7127358248195484,5.768320995793772,3.1780538303479458,7.214552052943588,1.4462310571498156,0.2354560382262876
2014,BAL,0.2472611575111531,0.6451612903225806,12,32,21,0.3548387096774194,1,195.0,1565.0,single,11.0,28.545454545454547,7.0,-7.545454545454547,-4.0,7.545454545454547,4.0,9.0,7.0,9.0,6.0,17.293518784055063,9.246935655452877,-11.251935761399483,-1.2168285992954073,5.272999558563747,3.044522437723423,7.188846745629375,1.9158471870656282,0.1472170593519668
2014,KC,-0.1054729448390257,0.4838709677419355,17,32,16,0.5161290322580645,1,155.0,963.0,single,12.0,31.0,6.0,-15.0,-6.0,15.0,6.0,11.0,4.0,11.0,4.0,17.70648121594494,9.246935655452877,-13.29351878405506,-1.4376134191239809,5.043425116919247,2.772588722239781,7.13649845817267,2.0930733412534233,0.12330758658134211
2014,NYJ,-0.1424677983062667,0.4516129032258065,18,32,15,0.5483870967741935,2,1090.0,1500.0,double,3.0,8.90909090909091,5.0,6.09090909090909,2.0,6.09090909090909,2.0,5.0,9.0,4.0,8.0,17.789073702322913,9.246935655452877,8.879982793232003,0.9603162738561414,6.993932975223189,2.70805020110221,7.124074544313619,0.13014156909042995,0.8779711285479898
2014,DEN,-0.1494562689350733,0.3870967741935484,20,32,13,0.6129032258064516,1,600.0,1060.0,single,8.0,21.181818181818183,4.0,-8.181818181818183,-4.0,8.181818181818183,4.0,10.0,6.0,9.0,6.0,17.954258675078865,9.246935655452877,-3.2275595067393184,-0.34904098254820676,6.396929655216146,2.5649493574615367,7.096527080826513,0.6995974256103663,0.4967852565622163
2014,CHI,-0.6817707279180888,0.2258064516129032,25,32,8,0.7741935483870968,1,1100.0,1670.0,single,2.0,6.454545454545455,3.0,1.545454545454545,1.0,1.545454545454545,1.0,6.0,11.0,6.0,11.0,18.36722110696874,9.246935655452877,11.912675652423284,1.2882836105167912,7.003065458786462,2.0794415416798357,7.003064956581215,-5.022052462777538e-07,1.0
2014,GB,-0.7967185524246132,0.1935483870967742,26,32,7,0.8064516129032258,1,800.0,1335.0,single,4.0,11.363636363636363,2.0,-4.363636363636363,-2.0,4.363636363636363,2.0,8.0,10.0,8.0,8.0,18.449813593346715,9.246935655452877,7.086177229710351,0.7663270832355867,6.684611727667927,1.9459101490553132,6.977359649267003,0.2927479215990756,0.7462102204699308
2014,ATL,-1.0411325849372923,0.0967741935483871,29,32,4,0.9032258064516129,1,250.0,2380.0,single,10.0,26.09090909090909,1.0,-22.09090909090909,-9.0,22.09090909090909,9.0,12.0,2.0,12.0,1.0,18.69759105248064,9.246935655452877,-7.3933180384284505,-0.7995424986080274,5.521460917862246,1.3862943611198906,6.86963145498976,1.3481705371275137,0.2597149651725499
