season,team,latent_score,improvement,group
2006,NYJ,0.21592275359430957,-0.011305159768866702,double
2007,NYJ,0.20461915483708637,-0.011303598757223199,double
2008,NYJ,0.19331711709151378,-0.01130203774557259,single
2009,NYJ,0.18201664035758824,-0.011300476733925535,double
2010,NYJ,0.17071772463530976,-0.01129891572227848,double
2011,NYJ,0.15942036992467834,-0.011297354710631424,double
2012,NYJ,0.14812457622569397,-0.011295793698984369,double
2013,NYJ,0.1368303435383602,-0.01129423268733376,double
2014,NYJ,0.1255376718626735,-0.011292671675686705,double
2015,NYJ,0.11424656119863386,-0.01129111066403965,double
2016,NYJ,0.10295701154624126,-0.011289549652392594,single
2017,NYJ,0.09166902290549572,-0.011287988640745539,double
2018,NYJ,0.08038259527639724,-0.011286427629098483,single
2019,NYJ,0.06909772865894936,-0.011284866617447875,single
2020,NYJ,0.057814423053148545,-0.01128330560580082,single
2021,NYJ,0.04653267845899123,-0.011281744594157317,double
2022,NYJ,0.03525249487648452,-0.011280183582506709,double
2023,NYJ,0.02397387230562842,-0.0112786225708561,single
2024,NYJ,0.01269681074641582,-0.011277061559212598,double
2001,PIT,0.7640878013377268,-0.020366857680308215,double
2002,PIT,0.7436899452541645,-0.02039785608356226,double
2003,PIT,0.723261090767366,-0.020428854486798542,single
2004,PIT,0.7028012378773241,-0.02045985289004193,single
2005,PIT,0.6823103865840423,-0.020490851293281764,single
2006,PIT,0.6617885368875172,-0.020521849696525152,double
2007,PIT,0.6412356887877486,-0.02055284809976854,single
2008,PIT,0.6206518422847402,-0.020583846503008374,double
2009,PIT,0.600036997378492,-0.02061484490624821,double
2010,PIT,0.5793911540689933,-0.0206458433094987,double
2011,PIT,0.5587143123562583,-0.020676841712734984,single
2012,PIT,0.5380064722402764,-0.020707840115981924,single
2013,PIT,0.5172676337210547,-0.02073883851922176,single
2014,PIT,0.4964977967985895,-0.020769836922465146,double
2015,PIT,0.4756969614728881,-0.020800835325701428,double
2016,PIT,0.4548651277439397,-0.020831833728948368,single
2017,PIT,0.43400229561174797,-0.020862832132191755,double
2018,PIT,0.41310846507631993,-0.020893830535428037,double
2019,PIT,0.39218363613764495,-0.020924828938674978,single
2020,PIT,0.37122780879573014,-0.020955827341914812,single
2021,PIT,0.35024098305056484,-0.020986825745165305,single
2022,PIT,0.32922315890216325,-0.021017824148401587,double
2023,PIT,0.3081743363505218,-0.021048822551641422,double
2024,PIT,0.28709451539564057,-0.021079820954881257,double
2001,WAS,0.12372676948427852,-0.02235535263281463,double
2002,WAS,0.1013841234455839,-0.022342646038694625,single
2003,WAS,0.0790541840010377,-0.0223299394445462,double
2004,WAS,0.05673695115059729,-0.022317232850440405,double
2005,WAS,0.034432424894305314,-0.02230452625629198,double
2006,WAS,0.012140605232133339,-0.022291819662171974,single
2007,WAS,-0.01013850783589021,-0.02227911306802355,single
2008,WAS,-0.032404914309807964,-0.022266406473917755,single
2009,WAS,-0.0546586141895915,-0.02225369987978354,double
2010,WAS,-0.07689960747522662,-0.022240993285635113,single
2011,WAS,-0.09912789416675594,-0.02222828669152932,single
2012,WAS,-0.12134347426413683,-0.022215580097380894,single
2013,WAS,-0.14354634776739772,-0.02220287350326089,double
2014,WAS,-0.1657365146765244,-0.022190166909126674,single
2015,WAS,-0.18791397499153106,-0.02217746031500667,double
2016,WAS,-0.21007872871240352,-0.022164753720872454,double
2017,WAS,-0.23223077583912755,-0.022152047126724028,single
2018,WAS,-0.2543701163717458,-0.022139340532618235,double
2019,WAS,-0.2764967503102298,-0.02212663393848402,single
2020,WAS,-0.2986106776545796,-0.022113927344349804,double
2021,WAS,-0.3207118984047952,-0.02210122075021559,single
2022,WAS,-0.3428004125608908,-0.022088514156095584,single
2023,WAS,-0.36487622012285215,-0.02207580756196137,single
2024,WAS,-0.3869393210906793,-0.022063100967827154,double
2001,BUF,0.0840145523341107,0.03468997632162285,double
2002,BUF,0.1187128875546577,0.034698335220546994,single
2003,BUF,0.15341958167413594,0.03470669411947824,double
2004,BUF,0.18813463469253122,0.03471505301839528,double
2005,BUF,0.22285804660985065,0.034723411917319424,single
2006,BUF,0.2575898174260942,0.03473177081624357,single
2007,BUF,0.2923299471412619,0.03474012971516771,single
2008,BUF,0.3270784357553609,0.03474848861409896,single
2009,BUF,0.3618352832683769,0.034756847513016,single
2010,BUF,0.396600489680317,0.03476520641194014,double
2011,BUF,0.4313740549911813,0.034773565310864285,single
2012,BUF,0.46615597920096974,0.03478192420978843,single
2013,BUF,0.5009462623096823,0.03479028310871257,double
2014,BUF,0.535744904317319,0.034798642007636715,single
2015,BUF,0.5705519052238799,0.03480700090656086,single
2016,BUF,0.6053672650293649,0.034815359805485,double
2017,BUF,0.640190983733774,0.034823718704409146,single
